media_id,department,group_raw,name,unit,received,issued,balance,status,link
M001,วัยเรียน,วัยเรียน,สถาบันพัฒนาสุขภาวะเขตเมือง(ม.1-ม.6),เล่ม,2000,0,2000,มีเหลือ,
M002,วัยเรียน,วัยเรียน,ภารกิจพิชิตสูง,แผ่น,120,0,120,มีเหลือ,
M003,ผู้สูงอายุ,ผู้สูงอายุ,สมุดบันทึกสุขภาพสงฆ์ A5,เล่ม,1200,0,1200,มีเหลือ,https://drive.google.com/file/d/1h3FBZj8eQjdteWV1bvaBAgkRI8TAdSj_/view?usp=drive_link
M004,ผู้สูงอายุ,ผู้สูงอายุ,สมุดบันทึกสุขภาพสงฆ์ A4,เล่ม,1200,0,1200,มีเหลือ,https://drive.google.com/file/d/1h3FBZj8eQjdteWV1bvaBAgkRI8TAdSj_/view?usp=drive_link
M005,ผู้สูงอายุ,ผู้สูงอายุ,สุขภาวะพระสงฆ์ด้านกิจกรรมทางกาย,แผ่น,500,0,500,มีเหลือ,
M006,ผู้สูงอายุ,ผู้สูงอายุ,โปรสเตอร์ส่งเสริมภาวะพระสงฆ์ด้านกิจกรรมทางกาย,แผ่่น,500,0,500,มีเหลือ,
M007,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,คู่มือมาตรฐานสุขาภิบาลอาหาร สถานที่จำหน่ายอาหาร(ตามกฏกระทรวงสุขลักษณะฯ พ.ศ.2561) 4/9,เล่ม,154,100,54,มีเหลือ,
M008,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,แผ่นพับ กฏกระทรวงสุขลักษณะของสถานที่จำหน่ายอาหาร พ.ศ.2561,แผ่น,996,115,881,มีเหลือ,
M009,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,คู่มือแนวทางการดำเนินงาน เฝ้าระวังสุขาภิบาลอาหาร สำหรับเจ้าหน้าที่,เล่ม,14,0,14,มีเหลือ,
M010,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,คู่มือการดำเนินงานสุขาภิบาลอาหาร สถานที่จำหน่ายอาหาร ตามกฏกระทรวงปี2561 (ปกฟ้า),เล่ม,21,0,21,มีเหลือ,
M011,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,รื้อ ล้าง หลังน้ำลด พื้นฟูประเทศไทย อนามัยสิ่งแวดล้อมดี คู่มือประชาชน,เล่ม,58,0,58,มีเหลือ,
M012,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,คู่มือข้อแนะนำมาตรฐานสถานประกอบการกิจการด้านการออกกำลังกายเพื่อสุขภาพ ฉบับที่ 1,เล่ม,100,0,100,มีเหลือ,
M013,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,แผ่นพับโครงการรณรงค์ลดละเลิกการใช้ภาชนะโฟมฯ,แผ่น,400,300,100,มีเหลือ,
M014,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,สติกเกอร์ การใช้ส้วมอย่างถูกวิธี,แผ่น,2000,1390,610,มีเหลือ,
M015,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,แผ่นพับ การดำเนินงานพัฒนาคุณภาพ ระบบบริการอนามัยสิ่งแวดล้อม,แผ่น,180,0,180,มีเหลือ,
M016,อนามัยสิ่งแวดล้อม,สิ่งแวดล้อม,แนวทางการปฎิบัติเมื่อแยกกักตัวผู้ป่วยโควิด-19,เล่ม,40,0,40,มีเหลือ,
