วันที่,เลขที่เอกสาร,หมายเหตุ,รหัสสื่อ,จำนวน,สถานะ
17/7/2568,,นำเข้าจากระบบเดิม,M001,2000,ปกติ
27/2/2569,,นำเข้าจากระบบเดิม,M002,120,ปกติ
10/9/2568,,นำเข้าจากระบบเดิม,M003,1200,ปกติ
10/9/2568,,นำเข้าจากระบบเดิม,M004,1200,ปกติ
5/2/2569,,นำเข้าจากระบบเดิม,M005,500,ปกติ
,,นำเข้าจากระบบเดิม,M006,500,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M007,154,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M008,996,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M009,14,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M010,21,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M011,58,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M012,100,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M013,400,ปกติ
"1 ตค 66
รับจากกรม",,นำเข้าจากระบบเดิม,M014,2000,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M015,180,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M016,40,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M017,32,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M018,200,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M019,21,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M020,78,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M021,26,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M022,7,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M023,20,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M024,8,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M025,4,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M026,24,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M027,14,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M028,12,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M029,15,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M030,2,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M031,16,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M032,7,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M033,6,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M034,212,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M035,16,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M036,3,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M037,10,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M038,666,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M039,76,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M040,107,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M041,800,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M042,1600,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M043,400,ปกติ
1 ตค 66,,นำเข้าจากระบบเดิม,M044,8,ปกติ
