วันที่,เลขที่เอกสาร,ผู้รับ,หมายเหตุ,รหัสสื่อ,จำนวน,สถานะ
19ธค66,210,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M007,50,ปกติ
14มิถุนา67,401,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M007,50,ปกติ
19ธค66,210,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M008,100,ปกติ
14มีค67,195,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M008,15,ปกติ
14 มิย 67,401,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M013,50,ปกติ
1969-03-13 00:00:00,127,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M013,250,ปกติ
22กพ67,128,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M014,10,ปกติ
24มค67,62,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M014,1000,ปกติ
22กพ67,128,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M014,80,ปกติ
10เมษา67,247,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M014,300,ปกติ
1969-03-25 00:00:00,173,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M034,12,ปกติ
1969-03-16 00:00:00,145,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M050,852,ปกติ
19กพ67,129,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M059,30,ปกติ
14มีค67,195,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M069,15,ปกติ
31พ.ค67,357,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M069,100,ปกติ
14มิถุนา67,401,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M069,150,ปกติ
19กพ67,129,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M072,50,ปกติ
18มีค67,195,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M072,50,ปกติ
26สค67,593,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M077,100,ปกติ
19กพ67,129,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M080,200,ปกติ
26สค67,593,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M081,20,ปกติ
1969-03-13 00:00:00,127,สิ่งแวดล้อม,นำเข้าจากระบบเดิม,M093,600,ปกติ
